customer_id,transaction_amount,transaction_type,transaction_time,is_fraud
8270,801.6816295170654,online,2021-01-01 00:00:00,0
1860,438.47354561405433,offline,2021-01-01 00:01:00,0
6390,498.14594268969824,offline,2021-01-01 00:02:00,0
6191,272.9533630897507,offline,2021-01-01 00:03:00,0
6734,707.3094269074088,online,2021-01-01 00:04:00,0
7265,804.7380147474177,offline,2021-01-01 00:05:00,0
1466,246.5156487109008,offline,2021-01-01 00:06:00,0
5426,51.40340754860071,online,2021-01-01 00:07:00,0
6578,627.6500537313407,online,2021-01-01 00:08:00,0
9322,566.8869979439635,online,2021-01-01 00:09:00,0
2685,408.10984347858766,online,2021-01-01 00:10:00,0
1769,647.4550023554781,offline,2021-01-01 00:11:00,0
7949,555.1071650052921,online,2021-01-01 00:12:00,0
3433,258.07576082825085,online,2021-01-01 00:13:00,0
6311,403.7516858664951,online,2021-01-01 00:14:00,0
6051,433.8324340497693,offline,2021-01-01 00:15:00,0
7420,881.445514530808,online,2021-01-01 00:16:00,0
2184,961.2951125876699,offline,2021-01-01 00:17:00,0
5555,894.0713487725321,offline,2021-01-01 00:18:00,0
4385,721.9862438114599,online,2021-01-01 00:19:00,0
7396,589.1428062697636,offline,2021-01-01 00:20:00,0
9666,692.3690191112954,online,2021-01-01 00:21:00,0
3558,939.7181285253621,online,2021-01-01 00:22:00,0
8849,257.4987478715934,offline,2021-01-01 00:23:00,0
3047,539.7693025966709,offline,2021-01-01 00:24:00,0
3747,692.7119388104038,offline,2021-01-01 00:25:00,0
1189,682.4545313110319,offline,2021-01-01 00:26:00,0
3734,259.75616998106807,online,2021-01-01 00:27:00,0
4005,590.8642121158543,offline,2021-01-01 00:28:00,0
5658,797.9540109959548,offline,2021-01-01 00:29:00,0
2899,480.3281902497414,offline,2021-01-01 00:30:00,1
8734,795.3650959317476,offline,2021-01-01 00:31:00,0
2267,366.28377177700924,online,2021-01-01 00:32:00,0
2528,939.3725258921213,online,2021-01-01 00:33:00,0
4556,538.5891560941101,offline,2021-01-01 00:34:00,0
4890,599.9884712846882,offline,2021-01-01 00:35:00,0
9838,41.047953116542516,online,2021-01-01 00:36:00,0
6393,178.56644575730832,online,2021-01-01 00:37:00,0
9792,636.6045416663343,online,2021-01-01 00:38:00,0
9433,425.67166806444857,online,2021-01-01 00:39:00,1
8513,513.082152553593,offline,2021-01-01 00:40:00,0
3612,72.34169464636344,offline,2021-01-01 00:41:00,0
8041,835.7938860262805,online,2021-01-01 00:42:00,0
7235,786.660546273255,online,2021-01-01 00:43:00,0
6486,193.50043596463104,offline,2021-01-01 00:44:00,0
8099,637.9860636848056,offline,2021-01-01 00:45:00,0
1775,820.132059537729,online,2021-01-01 00:46:00,0
9226,644.445595051444,offline,2021-01-01 00:47:00,0
4152,317.29411434288636,online,2021-01-01 00:48:00,0
2585,659.5500389733854,offline,2021-01-01 00:49:00,0
4943,218.3571302063801,offline,2021-01-01 00:50:00,0
8555,325.07244730662666,online,2021-01-01 00:51:00,0
4073,247.66895657610686,offline,2021-01-01 00:52:00,0
2021,561.3558513663045,online,2021-01-01 00:53:00,0
4843,117.14438029789312,offline,2021-01-01 00:54:00,0
8989,933.9772765448553,online,2021-01-01 00:55:00,0
7873,340.17723012623816,online,2021-01-01 00:56:00,0
6675,226.7804258347433,online,2021-01-01 00:57:00,1
1161,501.58431546581295,offline,2021-01-01 00:58:00,0
5297,284.2278402701689,online,2021-01-01 00:59:00,0
1995,539.5550455188179,online,2021-01-01 01:00:00,0
8629,355.02405828426464,offline,2021-01-01 01:01:00,0
2016,140.7461426613504,offline,2021-01-01 01:02:00,0
8869,273.2362896069894,online,2021-01-01 01:03:00,0
7439,444.05544651190996,online,2021-01-01 01:04:00,0
8892,39.99029421482937,offline,2021-01-01 01:05:00,0
7863,772.9361017446143,offline,2021-01-01 01:06:00,0
8916,625.6063189445116,offline,2021-01-01 01:07:00,1
9529,605.3460112055707,online,2021-01-01 01:08:00,0
1878,550.5894325639383,offline,2021-01-01 01:09:00,0
5887,594.4100406018179,online,2021-01-01 01:10:00,0
5859,935.3054331801484,online,2021-01-01 01:11:00,0
7331,18.483518702633283,online,2021-01-01 01:12:00,0
9571,57.32171256117177,offline,2021-01-01 01:13:00,1
9684,199.5784758314943,offline,2021-01-01 01:14:00,0
8208,175.6283661932186,offline,2021-01-01 01:15:00,0
6276,189.38251487449085,online,2021-01-01 01:16:00,0
3062,675.2244469901636,online,2021-01-01 01:17:00,0
1064,464.8884680396637,offline,2021-01-01 01:18:00,0
9006,991.8610895513463,offline,2021-01-01 01:19:00,0
3568,234.6170556549154,online,2021-01-01 01:20:00,1
6463,317.7218000172197,online,2021-01-01 01:21:00,0
3027,984.3983096336325,online,2021-01-01 01:22:00,0
3695,833.4405593942245,online,2021-01-01 01:23:00,0
6258,475.10122847174745,offline,2021-01-01 01:24:00,0
6618,559.0509166905298,online,2021-01-01 01:25:00,0
7736,844.7461414463121,online,2021-01-01 01:26:00,0
1391,486.17044358586475,offline,2021-01-01 01:27:00,0
6892,213.96348634626347,offline,2021-01-01 01:28:00,0
4561,830.1600931688416,offline,2021-01-01 01:29:00,0
7184,542.394766362887,offline,2021-01-01 01:30:00,0
4099,161.51217119218308,online,2021-01-01 01:31:00,0
7278,510.5299728725536,online,2021-01-01 01:32:00,0
9392,419.07134679089023,online,2021-01-01 01:33:00,0
4104,878.0741065629404,online,2021-01-01 01:34:00,0
8215,134.79487704709638,online,2021-01-01 01:35:00,0
3454,876.4577064035453,offline,2021-01-01 01:36:00,0
9996,517.0889066421819,offline,2021-01-01 01:37:00,0
3731,410.32078568133613,online,2021-01-01 01:38:00,0
9154,170.34751255891092,offline,2021-01-01 01:39:00,1
6056,703.8097830122925,online,2021-01-01 01:40:00,1
9110,927.5386420189401,online,2021-01-01 01:41:00,0
4840,381.6235803603266,online,2021-01-01 01:42:00,0
2028,249.1691506641251,online,2021-01-01 01:43:00,0
8385,559.3182478291654,online,2021-01-01 01:44:00,0
1502,798.2240889495315,offline,2021-01-01 01:45:00,0
7910,13.730017605027722,offline,2021-01-01 01:46:00,0
7938,635.0636620314749,online,2021-01-01 01:47:00,0
5488,600.5508406916446,online,2021-01-01 01:48:00,0
1206,324.97066394611846,offline,2021-01-01 01:49:00,0
6134,456.90877356892065,online,2021-01-01 01:50:00,0
6977,254.4935919202027,online,2021-01-01 01:51:00,0
8721,791.9868805723244,online,2021-01-01 01:52:00,0
8035,638.1895840324466,offline,2021-01-01 01:53:00,0
2484,537.3845058185954,online,2021-01-01 01:54:00,0
8858,398.60093643364894,online,2021-01-01 01:55:00,0
1863,298.4705421605248,offline,2021-01-01 01:56:00,0
3790,824.5091211829971,online,2021-01-01 01:57:00,0
8408,456.8935937292333,online,2021-01-01 01:58:00,0
9755,506.432945643256,offline,2021-01-01 01:59:00,0
6116,525.6204432353342,offline,2021-01-01 02:00:00,0
7019,453.8832660772607,online,2021-01-01 02:01:00,0
2757,263.5275419760395,offline,2021-01-01 02:02:00,0
8574,129.13703584062148,online,2021-01-01 02:03:00,0
7374,107.55189449606328,online,2021-01-01 02:04:00,0
7892,759.8878981072818,offline,2021-01-01 02:05:00,0
2678,231.29254407849623,online,2021-01-01 02:06:00,0
4242,65.11608680443582,offline,2021-01-01 02:07:00,0
