heart_rate,gsr,respiration_rate,label
72.81484618345286,4.38776326549225,16.825997824275596,0.0
83.08332316572279,4.239979932184473,18.7140364192504,1.0
66.69106767615806,4.59296368707322,18.90655095208509,0.0
88.65265222647307,9.292979075451541,22.17240967794349,1.0
79.09125510186601,6.024253318198502,16.780015903331314,1.0
77.01549682656119,10.389525723753875,21.171098583186126,1.0
73.27182828177028,5.651521991339505,16.135677027833875,0.0
64.64553750969444,4.819608318237592,14.307280560226054,0.0
69.16440959841573,2.9158870605014116,12.622989623862999,0.0
72.57523843153024,4.6869419694768455,14.286296269744401,0.0
78.76135221711812,3.4351972286379446,18.211666132589425,0.0
69.81182648787576,5.3676492929914215,16.162556844112398,0.0
75.2682089830392,4.8491622884333045,15.18622951099125,0.0
75.61297942787024,14.30411346902417,25.974111255250712,1.0
89.22318274925571,3.8270446832578306,19.866915633465315,1.0
71.78893680174141,6.804348109786743,16.487314447405428,0.0
67.20539076364206,4.883770956878042,15.102914326944278,0.0
78.41461130805118,6.0686703929535835,22.260258390507293,1.0
67.18137723598012,4.339678860526553,15.36529901551493,0.0
86.27787521105873,8.195340753496671,17.474535104395542,1.0
83.42430991103365,10.905233490972359,19.34852357858943,1.0
63.69558022832477,4.872450879622466,18.150686803913796,0.0
77.25769295669325,5.713961375852543,18.076657219326066,1.0
64.93584439832789,4.735485158689389,15.038332420976042,0.0
81.63650138253523,8.45799278491868,22.458119804418217,1.0
65.31087480042439,5.472406277880378,14.747369447633986,0.0
71.03843843581555,4.442576946891679,15.200243522663257,0.0
76.20128340186184,7.81631047133009,17.31945472244216,1.0
74.3480296005283,4.364637611174371,19.27013278905504,0.0
65.85502494538964,6.051947617722918,15.152802836543646,0.0
63.94491900118771,4.0813134885139055,14.24305239731588,0.0
72.8529933429658,4.686470313827602,20.15013007869708,0.0
87.34686900723534,10.165382107774146,17.797300034086888,1.0
75.58647915794064,6.747363197915558,13.221402539578019,0.0
67.74967264260378,6.673452090298537,15.749651143233672,0.0
72.45959585753253,4.07048913980759,17.63985050527047,0.0
83.86742968092004,4.233699583882832,18.989314619644585,1.0
66.93424368048858,4.504726980343477,20.776309415731767,1.0
80.8162736165273,6.257149216862572,14.352930058748301,0.0
82.79781566226849,9.390804949100598,22.266997516232944,1.0
73.80207328072149,5.199810433718714,11.559157982129747,0.0
67.8655946502629,5.311308673442885,17.675528443093178,0.0
98.21178179926277,6.87878472630538,16.675662625223392,1.0
68.80525976566796,5.548883835317365,14.821775734437747,0.0
77.38947022370758,3.556145183866458,19.35734934674513,0.0
63.200719295100406,4.583805595114746,15.006936529036063,0.0
84.69938053515327,7.518669650939574,20.418493388442375,1.0
68.76240682224248,4.758502554129221,18.404902495966144,0.0
